mtr_codigo;COUNT(*);dsp_restante;dsp_cursadas
3894;1;INF-101,INF-102,INF-100,INF-105,INF-106,INF-120,INF-430,INF-101,INF-102,INF-121,INF-160,INF-430,INF-121,INF-102,INF-131,INF-108,INF-161,INF-210,INF-123,INF-107,INF-245,INF-103,INF-102;INF-110,INF-106,INF-106,INF-120,INF-120,INF-160,INF-160,INF-104,INF-106,INF-106,INF-160,INF-160,INF-110,INF-121,INF-121,INF-110,INF-140,INF-120,INF-120,INF-160,INF-160,INF-161,INF-160,INF-160,INF-124,INF-105,INF-105,INF-210,INF-245,INF-110,INF-245,INF-131,INF-110
4057;1;INF-104,INF-100,INF-110,INF-120,INF-430,INF-104,INF-121,INF-100,INF-140,INF-104,INF-121,INF-160,INF-131,INF-108,INF-140,INF-210,INF-123,INF-107,INF-245;INF-110,INF-110,INF-106,INF-120,INF-160,INF-104,INF-104,INF-104,INF-106,INF-160,INF-110,INF-110,INF-121,INF-121,INF-110,INF-110,INF-140,INF-140,INF-120,INF-160,INF-160,INF-124,INF-105,INF-210,INF-245,INF-110,INF-110,INF-245,INF-131,INF-110,INF-110
1489;1;INF-104,INF-131,INF-140,INF-161,INF-120,INF-281,INF-221,INF-270,INF-221,INF-201,INF-216,INF-256,INF-317,INF-250;INF-110,INF-106,INF-120,INF-160,INF-104,INF-106,INF-160,INF-110,INF-110,INF-140,INF-140,INF-120,INF-160,INF-161,INF-161,INF-160,INF-124,INF-105,INF-210,INF-245,INF-110,INF-220,INF-245,INF-256,INF-130,INF-130,INF-131,INF-131,INF-110,INF-220,INF-250,INF-281,INF-314,INF-270,INF-211
4111;1;INF-105,INF-270,INF-270,INF-212,INF-271;INF-161,INF-105,INF-210,INF-245,INF-220,INF-245,INF-256,INF-130,INF-130,INF-220,INF-250,INF-281,INF-270,INF-270,INF-270,INF-211
3878;1;INF-121,INF-160,INF-124,INF-108,INF-131,INF-140,INF-161,INF-131,INF-140,INF-161,INF-210,INF-123,INF-107,INF-245,INF-281;INF-110,INF-106,INF-120,INF-160,INF-160,INF-104,INF-106,INF-160,INF-160,INF-110,INF-121,INF-121,INF-110,INF-140,INF-140,INF-120,INF-160,INF-160,INF-161,INF-161,INF-160,INF-160,INF-124,INF-124,INF-105,INF-210,INF-245,INF-110,INF-245,INF-131,INF-131,INF-110,INF-281
2332;1;INF-124,INF-210,INF-271,INF-316,INF-290,INF-212,INF-317;INF-110,INF-106,INF-120,INF-160,INF-104,INF-106,INF-160,INF-110,INF-121,INF-110,INF-140,INF-120,INF-160,INF-161,INF-160,INF-124,INF-105,INF-210,INF-245,INF-110,INF-220,INF-245,INF-256,INF-130,INF-130,INF-131,INF-110,INF-220,INF-250,INF-281,INF-314,INF-270,INF-211
1578;1;INF-160,INF-104,INF-161,INF-124,INF-106,INF-123,INF-245,INF-210,INF-107,INF-281,INF-270,INF-130,INF-240,INF-221,INF-201,INF-216,INF-256,INF-317,INF-250;INF-110,INF-106,INF-120,INF-160,INF-104,INF-106,INF-160,INF-110,INF-121,INF-110,INF-140,INF-120,INF-160,INF-161,INF-161,INF-160,INF-124,INF-124,INF-105,INF-210,INF-210,INF-245,INF-245,INF-110,INF-220,INF-245,INF-245,INF-256,INF-130,INF-130,INF-131,INF-110,INF-220,INF-250,INF-281,INF-281,INF-314,INF-270,INF-211
1822;1;INF-160,INF-161,INF-108,INF-210,INF-281,INF-240,INF-211,INF-256,INF-216,INF-280,INF-201,INF-270,INF-255,INF-108,INF-161,INF-270,INF-210,INF-290,INF-160,INF-281;INF-110,INF-106,INF-120,INF-160,INF-160,INF-104,INF-106,INF-160,INF-160,INF-110,INF-121,INF-110,INF-140,INF-120,INF-160,INF-160,INF-161,INF-161,INF-160,INF-160,INF-124,INF-105,INF-210,INF-210,INF-245,INF-110,INF-220,INF-245,INF-256,INF-130,INF-130,INF-131,INF-110,INF-220,INF-250,INF-281,INF-281,INF-314,INF-270,INF-270,INF-211
4038;1;INF-221,INF-201,INF-216,INF-256,INF-250;INF-110,INF-106,INF-120,INF-160,INF-104,INF-106,INF-160,INF-110,INF-121,INF-110,INF-140,INF-120,INF-160,INF-161,INF-160,INF-124,INF-105,INF-210,INF-245,INF-110,INF-220,INF-245,INF-256,INF-130,INF-130,INF-131,INF-110,INF-220,INF-250,INF-281,INF-314,INF-211
2007;5;INF-271,INF-316,INF-290,INF-212,INF-317;INF-110,INF-106,INF-120,INF-160,INF-104,INF-106,INF-160,INF-110,INF-121,INF-110,INF-140,INF-120,INF-160,INF-161,INF-160,INF-124,INF-105,INF-210,INF-245,INF-110,INF-220,INF-245,INF-256,INF-130,INF-130,INF-131,INF-110,INF-220,INF-250,INF-281,INF-314,INF-270,INF-211
